team_id,team_name
   1, Arizona
   2, Atlanta
   3, Baltimore
   4, Buffalo
   5, Carolina
   6, Chicago
   7, Cincinnati
   8, Cleveland
   9, Dallas
  10, Denver
  11, Detroit
  12, Green_Bay
  13, Houston
  14, Indianapolis
  15, Jacksonville
  16, Kansas_City
  17, Miami
  18, Minnesota
  19, New_England
  20, New_Orleans
  21, NY_Giants
  22, NY_Jets
  23, Oakland
  24, Philadelphia
  25, Pittsburgh
  26, San_Diego
  27, San_Francisco
  28, Seattle
  29, St_Louis
  30, Tampa_Bay
  31, Tennessee
  32, Washington
